store_id,location,region
1,"New York, NY",Northeast
2,"Los Angeles, CA",West
3,"Chicago, IL",Midwest
4,"Houston, TX",South
5,"Miami, FL",Southeast
6,"Boston, MA",Northeast
7,"Dallas, TX",South
8,"San Francisco, CA",West
9,"Seattle, WA",West
10,"Phoenix, AZ",Southwest
11,"San Diego, CA",West
12,"Atlanta, GA",Southeast
13,"Austin, TX",South
14,"Denver, CO",West
15,"Washington, DC",Northeast
16,"Philadelphia, PA",Northeast
17,"Orlando, FL",Southeast
18,"Charlotte, NC",Southeast
19,"Detroit, MI",Midwest
20,"Minneapolis, MN",Midwest
21,"Las Vegas, NV",West
22,"Salt Lake City, UT",West
23,"Cleveland, OH",Midwest
24,"Indianapolis, IN",Midwest
25,"Tampa, FL",Southeast
26,"Portland, OR",West
27,"Nashville, TN",Southeast
28,"Kansas City, MO",Midwest
29,"St. Louis, MO",Midwest
30,"Raleigh, NC",Southeast
